Glamorgan first innings forfeited and 273-5 ( H. Morris	S-ORG O O O O O O B-PER E-PER
Florida cop disguised as shrub nabs bad guys .	S-LOC O O O O O O O O
The suspect said he was hired to make a wooden box from the planks in order to hide the heroin .	O O O O O O O O O O O O O O O O O O O O O
Ori Lewis	B-PER E-PER
An ISS statement said that Aaxis , with year-end 1996 assets of US$ 10.9 million and equity of $ 10.5 million , would be listed on the Montreal stock exchange , but did not say when .	O S-ORG O O O S-ORG O O O O O O S-MISC O O O O O O O O O O O O O O S-LOC O O O O O O O O O
" Everyone was fooled , " said pet shop owner Shane Drew , who unknowingly traded the disguised birds .	O O O O O O O O O O B-PER E-PER O O O O O O O O
SOCCER - COSTA RICA AND CHILE DRAW 1-1 IN FRIENDLY .	O O B-LOC E-LOC O S-LOC O O O O O
The Springboks would have gone ahead had not fly-half Joel Stransky 's conversion hit an upright and New Zealand only scrambled to safety through a fine penalty from replacement fly-half Jon Preston and a drop goal by number eight Zinzan Brooke .	O S-ORG O O O O O O O B-PER E-PER O O O O O O B-LOC E-LOC O O O O O O O O O O O B-PER E-PER O O O O O O O B-PER E-PER O
2. Johan Capiot ( Belgium ) Collstrop	O B-PER E-PER O S-LOC O S-ORG
AN-NAHAR	S-ORG
It calculated the kuna midrates for Tuesday 's trade stronger at 5.2420 against the dollar and slightly weaker at 3.5486 against the German mark .	O O O O O O O O O O O O O O O O O O O O O O S-MISC O O
The revaluation was undertaken to meet the disclosure	O O O O O O O O
Police in Malta said on Saturday they had seized 7.5 tonnes of cannabis concealed in a shipment of chilli sauce on its way from Singapore to Romania .	O O S-LOC O O O O O O O O O O O O O O O O O O O O O S-LOC O S-LOC O
Talabani has agreed to take part in talks in London on reaching a comprehensive settlement for the PUK-KDP conflict , the PUK statement said .	S-PER O O O O O O O O S-LOC O O O O O O O S-MISC O O O S-ORG O O O
Stagecoach sees Swebus deal agreed next week .	S-ORG O S-ORG O O O O O
